CustomerID,Total_Amount,Total_Quantity,Total_Transaksi,Rata_rata_Harga
12346.0,77183.6,74215,1,1.04
12347.0,4310.0,2458,7,2.644010989010989
12348.0,1797.24,2341,4,5.764838709677419
12349.0,1757.55,631,1,8.289041095890411
12350.0,334.4,197,1,3.841176470588235
12352.0,2506.04,536,8,15.93070588235294
12353.0,89.0,20,1,6.074999999999999
12354.0,1079.4,530,1,4.5037931034482765
12355.0,459.4,240,1,4.203846153846154
12356.0,2811.43,1591,3,3.201186440677966
12357.0,6207.67,2708,1,3.3486259541984733
12358.0,1168.06,248,2,8.27421052631579
12359.0,6372.58,1622,4,8.620403225806452
12360.0,2662.06,1165,3,3.5496899224806198
12361.0,189.9,91,1,3.335
12362.0,5226.23,2229,10,3.94093984962406
12363.0,552.0,408,2,2.3117391304347827
12364.0,1313.1,1506,4,1.910235294117647
12365.0,641.38,174,2,17.150454545454547
12367.0,168.9,173,1,3.2
12370.0,3545.69,2353,4,2.800299401197605
12371.0,1887.96,591,2,3.8742857142857146
12372.0,1298.04,794,3,3.001346153846154
12373.0,364.6,197,1,4.582142857142857
12374.0,742.9300000000001,342,1,4.21969696969697
12375.0,457.5,178,2,6.912941176470589
12377.0,1628.12,944,2,2.718831168831169
12378.0,4008.62,2529,1,2.9974429223744297
12379.0,852.24,407,2,2.86625
12380.0,2724.81,1127,4,3.378653846153846
12381.0,1845.31,808,5,4.683218390804598
12383.0,1850.56,1532,5,3.086969696969697
12384.0,585.27,126,2,7.87925925925926
12386.0,401.9,354,2,2.391
12388.0,2780.66,1462,6,2.7777
12390.0,549.84,353,1,3.996875
12391.0,460.89,300,1,2.4599
12393.0,1582.6000000000001,816,4,2.2796875
12394.0,1272.48,819,2,3.3707407407407404
12395.0,3018.63,2118,12,3.9688461538461537
12397.0,2409.9,1263,2,3.4682539682539684
12398.0,1635.6599999999999,1394,1,1.992705882352941
12399.0,1108.65,1178,4,2.1145762711864404
12401.0,84.3,11,1,9.68
12402.0,225.6,94,1,3.290909090909091
12403.0,427.7,96,1,7.080000000000001
12405.0,1710.39,857,1,3.5442592592592597
12406.0,3415.3,1818,2,2.487047619047619
12407.0,1708.1200000000001,1416,5,3.2674025974025973
12408.0,2888.55,1409,5,3.0228571428571427
12409.0,11072.67,5551,3,3.574495412844037
12410.0,693.3299999999999,211,2,6.335384615384616
12412.0,1226.88,829,3,2.7137704918032783
12413.0,758.1,286,3,4.798421052631579
12414.0,562.41,300,3,8.57
12415.0,124914.53,77374,21,2.9370868347338934
12417.0,3649.1,1552,9,5.337916666666666
12418.0,668.58,407,1,3.5644117647058824
12420.0,600.39,345,1,4.707241379310345
12421.0,807.04,484,4,4.520222222222222
12422.0,803.5600000000001,370,3,3.26025641025641
12423.0,1859.31,1339,8,2.9135999999999997
12424.0,1760.96,740,2,2.780666666666667
